bag,n_pairs,theta_deg_1_to_0,offset_x_1_to_0_m,offset_y_1_to_0_m,reported_r0_rms_m,reported_r1_rms_m,warning,reference_json_sha256
sense1-1,51,175.98802626368334,2.619903511312308,-5.947469914945517,0.49444530801808745,0.24195905310485552,"The source calibration script interleaves robot residuals before splitting the RMS labels; the joint fit is used, but the two labelled RMS values must not be interpreted as robot-specific uncertainty estimates.",56e941eb860de85a94f459e63f6ba85047f35914031ade784aa6d054dd1b3cf7
sense1-2,155,169.46456306260586,2.4774183716085982,-6.252867278548417,0.5248155064423187,0.29565101600850535,"The source calibration script interleaves robot residuals before splitting the RMS labels; the joint fit is used, but the two labelled RMS values must not be interpreted as robot-specific uncertainty estimates.",835d79503567d2bccbe2791d062d7bb3806d116d07d2390afd5ca2d399791a02
sense2-1,178,10.513449127715818,-1.9284986119362961,5.128513973421662,0.28220991629241904,0.2803579098068588,"The source calibration script interleaves robot residuals before splitting the RMS labels; the joint fit is used, but the two labelled RMS values must not be interpreted as robot-specific uncertainty estimates.",892a742011a349a5079a779998fe6b89a809409096dff9758051b5844a72c5e8
sense2-2,137,9.216405565406989,-1.730712224708587,5.6079981325131145,0.39382307009737116,0.2663866684464708,"The source calibration script interleaves robot residuals before splitting the RMS labels; the joint fit is used, but the two labelled RMS values must not be interpreted as robot-specific uncertainty estimates.",ec680f74a0f79342ba53444c6dfae32cbe92db6d2a8e8d77a9d99c684663169c
sense3-1,110,11.218037645421777,0.9631749063740456,-5.988059711168385,0.4574295402907158,0.42410259473137235,"The source calibration script interleaves robot residuals before splitting the RMS labels; the joint fit is used, but the two labelled RMS values must not be interpreted as robot-specific uncertainty estimates.",b0b0b4f2f5f5e71996ac25e089b727409424a4640bd9ba0ff3be9f64084a8424
sense3-2,105,-174.9872692569927,1.9546050549284224,-5.732559033546191,0.4480013792305012,0.28347869062639053,"The source calibration script interleaves robot residuals before splitting the RMS labels; the joint fit is used, but the two labelled RMS values must not be interpreted as robot-specific uncertainty estimates.",231d3e840fc3bf2b5546415ab6429b7e2f68c0dc1ca9c42acae34b6a3a52b5e8
sense4-1,170,-120.72,5.056616762956103,-2.8395751627587416,0.5947061239469191,0.43392898364487176,"The source calibration script interleaves robot residuals before splitting the RMS labels; the joint fit is used, but the two labelled RMS values must not be interpreted as robot-specific uncertainty estimates.",3308fefff4debf08aef94ae6697727ceefc3bf932191dc620da735223d91fd29
sense4-2,179,85.85946156771394,4.366076159111321,-0.3715863791201965,0.4129532534903371,0.3616964040179953,"The source calibration script interleaves robot residuals before splitting the RMS labels; the joint fit is used, but the two labelled RMS values must not be interpreted as robot-specific uncertainty estimates.",bd5918f98ec4c3018a7ba656de6098ebed2200b761ac7ed712a878160c238223
sense5-1,196,146.51241559907237,5.603696473457374,-0.579509639885497,0.23845582426825793,0.19468930182767824,"The source calibration script interleaves robot residuals before splitting the RMS labels; the joint fit is used, but the two labelled RMS values must not be interpreted as robot-specific uncertainty estimates.",48981b015026537f41f63fd07945b11e7f13e7ebadfddf374b057e4b7a6594d1
sense5-2,149,136.9214172201681,4.389380730886058,-0.1646632831780609,0.27213606199050006,0.3203485777394821,"The source calibration script interleaves robot residuals before splitting the RMS labels; the joint fit is used, but the two labelled RMS values must not be interpreted as robot-specific uncertainty estimates.",6ef43039829d97b2cb191c6baf8d8d3c608607229bef98b9abe2fe31036ac424
